ST,PUMA,prcnt_non_cit,prcnt_non_white,total_workforce,DOs
1,100,0.02713481771470516,0.17082211891362858,81740,"[""Birmingham AL District Office""]"
1,200,0.016999552916956925,0.2681874421651296,96179,"[""Birmingham AL District Office""]"
1,301,0.04393083474321108,0.48272302354256874,69746,"[""Birmingham AL District Office""]"
1,302,0.051871481983647647,0.3038333538764945,48678,"[""Birmingham AL District Office""]"
1,400,0.055064895169341835,0.15471161969126795,52084,"[""Birmingham AL District Office""]"
1,500,0.054841489247118805,0.15696693354396296,55706,"[""Birmingham AL District Office""]"
1,600,0.04076143182288434,0.2313262983654045,67662,"[""Birmingham AL District Office""]"
1,700,0.024170968588677923,0.05923527867704961,45716,"[""Birmingham AL District Office""]"
1,800,0.014133600725779497,0.12172722787247926,62829,"[""Birmingham AL District Office""]"
1,900,0.019296279695203946,0.20629762438368446,44620,"[""Birmingham AL District Office""]"
1,1000,0.00996212870157721,0.25116731813411614,65749,"[""Birmingham AL District Office""]"
1,1100,0.016934508380853638,0.2612368719159803,52083,"[""Birmingham AL District Office""]"
1,1200,0.038730682808272576,0.21197780529187876,109035,"[""Birmingham AL District Office""]"
1,1301,0.033094399222451706,0.9554124650710728,41155,"[""Birmingham AL District Office""]"
1,1302,0.052598870056497174,0.5611676082862523,53100,"[""Birmingham AL District Office""]"
1,1303,0.057524663482884465,0.2778445577899787,92343,"[""Birmingham AL District Office""]"
1,1304,0.01640172476589945,0.41878443950982813,85113,"[""Birmingham AL District Office""]"
1,1305,0.021572245801808453,0.5086731869348589,54190,"[""Birmingham AL District Office""]"
1,1400,0.0118290484970272,0.09614468314308798,48271,"[""Birmingham AL District Office""]"
1,1500,0.016320388911395336,0.2463684240986168,51837,"[""Birmingham AL District Office""]"
1,1600,0.04202290549271591,0.5013010461473103,56493,"[""Birmingham AL District Office""]"
1,1700,0.00847510829305041,0.5639609098708854,47787,"[""Birmingham AL District Office""]"
1,1800,0.02490058010142654,0.2866394250063848,54818,"[""Birmingham AL District Office""]"
1,1900,0.04223199642164902,0.3282764276129417,80484,"[""Birmingham AL District Office""]"
1,2000,0.0348885771500166,0.667787498795284,93383,"[""Birmingham AL District Office""]"
1,2100,0.022016688448778528,0.3269076103347743,79576,"[""Birmingham AL District Office""]"
1,2200,0.0038828169940011504,0.41145533733256634,48676,"[""Birmingham AL District Office""]"
1,2300,0.013539797941648569,0.2732886412992163,52955,"[""Birmingham AL District Office""]"
